 ,Image,Slice_Index,Nucleus_ID,X,Y
1,325_study2_image162_AF.png,1,1,194.833,30.167
2,325_study2_image162_AF.png,1,2,50.167,103.167
3,325_study2_image162_AF.png,1,3,65.833,84.833
4,325_study2_image162_AF.png,1,4,21.500,98.500
5,325_study2_image162_AF.png,1,5,117.500,51.500
6,325_study2_image162_AF.png,1,6,58.167,21.500
7,325_study2_image162_AF.png,1,7,34.833,29.167
8,325_study2_image162_AF.png,1,8,165.500,147.167
9,325_study2_image162_AF.png,1,10,119.500,131.500
10,325_study2_image162_AF.png,1,11,122.167,151.167
11,325_study2_image162_AF.png,1,12,258.167,102.833
12,325_study2_image162_AF.png,1,13,279.500,95.500
13,325_study2_image162_AF.png,1,14,287.167,109.500
14,325_study2_image162_AF.png,1,15,340.500,86.500
15,325_study2_image162_AF.png,1,17,359.167,126.167
16,325_study2_image162_AF.png,1,18,358.500,106.500
17,325_study2_image162_AF.png,1,19,359.500,71.500
18,325_study2_image162_AF.png,1,20,425.167,78.167
19,325_study2_image162_AF.png,1,21,426.833,122.833
20,325_study2_image162_AF.png,1,22,454.167,123.500
21,325_study2_image162_AF.png,1,23,471.500,121.833
22,325_study2_image162_AF.png,1,24,95.500,313.833
23,325_study2_image162_AF.png,1,25,64.500,290.500
24,325_study2_image162_AF.png,1,26,69.167,262.833
25,325_study2_image162_AF.png,1,27,54.167,302.500
26,325_study2_image162_AF.png,1,28,68.500,242.833
27,325_study2_image162_AF.png,1,29,43.167,252.167
28,325_study2_image162_AF.png,1,30,17.833,283.833
29,325_study2_image162_AF.png,1,31,120.833,313.500
30,325_study2_image162_AF.png,1,32,142.833,307.500
31,325_study2_image162_AF.png,1,33,163.833,303.500
32,325_study2_image162_AF.png,1,34,167.833,326.500
33,325_study2_image162_AF.png,1,35,210.167,336.167
34,325_study2_image162_AF.png,1,36,207.500,294.167
35,325_study2_image162_AF.png,1,37,265.500,286.833
36,325_study2_image162_AF.png,1,38,290.833,281.500
37,325_study2_image162_AF.png,1,39,303.500,294.833
38,325_study2_image162_AF.png,1,40,334.833,320.833
39,325_study2_image162_AF.png,1,41,358.833,333.167
40,325_study2_image162_AF.png,1,42,373.167,332.833
41,325_study2_image162_AF.png,1,43,391.167,340.167
42,325_study2_image162_AF.png,1,44,374.167,356.167
43,325_study2_image162_AF.png,1,45,391.833,369.167
44,325_study2_image162_AF.png,1,46,365.167,383.500
45,325_study2_image162_AF.png,1,47,357.167,399.167
46,325_study2_image162_AF.png,1,48,323.833,381.500
47,325_study2_image162_AF.png,1,49,239.167,415.833
48,325_study2_image162_AF.png,1,50,240.833,356.500
49,325_study2_image162_AF.png,1,51,162.500,402.500
50,325_study2_image162_AF.png,1,52,91.500,463.500
51,325_study2_image162_AF.png,1,53,146.500,441.167
52,325_study2_image162_AF.png,1,54,257.833,236.500
53,325_study2_image162_AF.png,1,55,238.167,209.167
54,325_study2_image162_AF.png,1,56,236.500,187.167
55,325_study2_image162_AF.png,1,57,249.167,182.500
56,325_study2_image162_AF.png,1,58,284.500,194.500
57,325_study2_image162_AF.png,1,59,281.833,215.500
58,325_study2_image162_AF.png,1,60,226.833,252.500
59,325_study2_image162_AF.png,1,61,249.167,257.167
